央视频道,#genre#
CCTV-1高清,http://222.141.134.172:8888/rtp/225.1.4.73:1102
CCTV-2高清,http://222.141.134.172:8888/rtp/225.1.4.74:1103
CCTV-3高清,http://222.141.134.172:8888/rtp/225.1.4.158:1194
CCTV-4高清,http://222.141.134.172:8888/rtp/225.1.5.30:1333
CCTV-5高清,http://222.141.134.172:8888/rtp/225.1.4.159:1195
CCTV-6高清,http://222.141.134.172:8888/rtp/225.1.4.160:1196
CCTV-7高清,http://222.141.134.172:8888/rtp/225.1.4.76:1105
CCTV-8高清,http://222.141.134.172:8888/rtp/225.1.4.161:1197
CCTV-9高清,http://222.141.134.172:8888/rtp/225.1.4.77:1106
CCTV-10高清,http://222.141.134.172:8888/rtp/225.1.4.78:1107
CCTV-11高清,http://222.141.134.172:8888/rtp/225.1.4.215:1268
CCTV-12高清,http://222.141.134.172:8888/rtp/225.1.4.79:1108
CCTV-13高清,http://222.141.134.172:8888/rtp/225.1.4.113:1293
CCTV-14高清,http://222.141.134.172:8888/rtp/225.1.4.80:1109
CCTV-15高清,http://222.141.134.172:8888/rtp/225.1.4.216:1269
CCTV-17高清,http://222.141.134.172:8888/rtp/225.1.4.226:2506
CCTV-5＋高清,http://222.141.134.172:8888/rtp/225.1.4.75:1104
CCTV4K超高清,http://222.141.134.172:8888/rtp/225.1.5.65:1375
卫视频道,#genre#
河南卫视高清,http://222.141.134.172:8888/rtp/225.1.4.98:1127
湖南卫视高清,http://222.141.134.172:8888/rtp/225.1.4.82:1111
江苏卫视高清,http://222.141.134.172:8888/rtp/225.1.4.83:1112
浙江卫视高清,http://222.141.134.172:8888/rtp/225.1.4.84:1113
北京卫视高清,http://222.141.134.172:8888/rtp/225.1.4.81:1110
东方卫视高清,http://222.141.134.172:8888/rtp/225.1.4.85:1114
天津卫视高清,http://222.141.134.172:8888/rtp/225.1.4.86:1115
山东卫视高清,http://222.141.134.172:8888/rtp/225.1.4.88:1117
安徽卫视高清,http://222.141.134.172:8888/rtp/225.1.4.87:1116
深圳卫视高清,http://222.141.134.172:8888/rtp/225.1.4.90:1119
江西卫视高清,http://222.141.134.172:8888/rtp/225.1.4.139:1305
湖北卫视高清,http://222.141.134.172:8888/rtp/225.1.4.89:1118
四川卫视高清,http://222.141.134.172:8888/rtp/225.1.4.151:1306
黑龙江卫视高清,http://222.141.134.172:8888/rtp/225.1.4.91:1120
云南卫视高清,http://222.141.134.172:8888/rtp/225.1.4.152:1307
贵州卫视高清,http://222.141.134.172:8888/rtp/225.1.4.122:1302
辽宁卫视高清,http://222.141.134.172:8888/rtp/225.1.4.167:1208
东南卫视高清,http://222.141.134.172:8888/rtp/225.1.4.228:1274
重庆卫视高清,http://222.141.134.172:8888/rtp/225.1.4.157:1308
广东卫视高清,http://222.141.134.172:8888/rtp/225.1.4.166:1207
广西卫视,http://222.141.134.172:8888/rtp/225.1.4.31:1060
河北卫视高清,http://222.141.134.172:8888/rtp/225.1.4.123:1304
海南卫视高清,http://222.141.134.172:8888/rtp/225.1.4.195:1310
吉林卫视高清,http://222.141.134.172:8888/rtp/225.1.4.174:1309
山西卫视,http://222.141.134.172:8888/rtp/225.1.4.38:1067
陕西卫视,http://222.141.134.172:8888/rtp/225.1.4.39:1068
甘肃卫视,http://222.141.134.172:8888/rtp/225.1.4.42:1071
宁夏卫视,http://222.141.134.172:8888/rtp/225.1.4.43:1072
青海卫视,http://222.141.134.172:8888/rtp/225.1.4.44:1073
内蒙古卫视,http://222.141.134.172:8888/rtp/225.1.4.45:1074
西藏卫视,http://222.141.134.172:8888/rtp/225.1.4.46:1075
新疆卫视,http://222.141.134.172:8888/rtp/225.1.4.47:1076
本地频道,#genre#
河南移动电视,http://222.141.134.172:8888/rtp/225.1.5.40:1350
河南都市频道,http://222.141.134.172:8888/rtp/225.1.4.52:1081
河南民生频道,http://222.141.134.172:8888/rtp/225.1.4.53:1082
河南法治频道,http://222.141.134.172:8888/rtp/225.1.4.54:1083
河南电视剧频道,http://222.141.134.172:8888/rtp/225.1.4.55:1084
河南新闻频道,http://222.141.134.172:8888/rtp/225.1.4.56:1085
河南公共频道,http://222.141.134.172:8888/rtp/225.1.4.58:1087
河南乡村频道,http://222.141.134.172:8888/rtp/225.1.4.120:1149
河南国际频道,http://222.141.134.172:8888/rtp/225.1.4.102:1131
河南文物宝库,http://222.141.134.172:8888/rtp/225.1.4.100:1129
河南梨园频道,http://222.141.134.172:8888/rtp/225.1.4.99:1128
河南武术世界,http://222.141.134.172:8888/rtp/225.1.4.101:1130
平顶山综合,http://222.141.134.172:8888/rtp/225.1.4.124:1160
平顶山公共,http://222.141.134.172:8888/rtp/225.1.4.138:1174
平顶山城市,http://222.141.134.172:8888/rtp/225.1.4.125:1161
舞钢电视台,http://222.141.134.172:8888/rtp/225.1.4.218:1271
郑州时政高清,http://222.141.134.172:8888/rtp/225.1.4.140:1176
郑州商都高清,http://222.141.134.172:8888/rtp/225.1.4.141:1177
郑州文体高清,http://222.141.134.172:8888/rtp/225.1.4.142:1178
郑州影视戏曲,http://222.141.134.172:8888/rtp/225.1.4.146:1182
郑州妇女儿童,http://222.141.134.172:8888/rtp/225.1.4.147:1183
郑州都市生活,http://222.141.134.172:8888/rtp/225.1.4.149:1185
郑州市教育电视台,http://222.141.134.172:8888/rtp/225.1.4.191:1241
特色频道,#genre#
国学频道,http://222.141.134.172:8888/rtp/225.1.4.196:1311
CHC家庭影院,http://222.141.134.172:8888/rtp/225.1.4.209:1262
CHC动作电影,http://222.141.134.172:8888/rtp/225.1.4.208:1261
CHC影迷电影,http://222.141.134.172:8888/rtp/225.1.4.207:1260
卡酷动画,http://222.141.134.172:8888/rtp/225.1.4.48:1077
金鹰卡通,http://222.141.134.172:8888/rtp/225.1.4.49:1078
嘉佳卡通,http://222.141.134.172:8888/rtp/225.1.4.92:1121
中国教育-1高清,http://222.141.134.172:8888/rtp/225.1.4.173:1712
中国教育-2,http://222.141.134.172:8888/rtp/225.1.4.165:1206
中国教育-4,http://222.141.134.172:8888/rtp/225.1.4.171:1710
厦门卫视,http://222.141.134.172:8888/rtp/225.1.4.95:1124
金鹰纪实高清,http://222.141.134.172:8888/rtp/225.1.4.172:1711
兵团卫视,http://222.141.134.172:8888/rtp/225.1.4.97:1126
爱上-4k,http://222.141.134.172:8888/rtp/225.1.4.162:1204
山东教育,http://222.141.134.172:8888/rtp/225.1.4.164:1205
三沙卫视,http://222.141.134.172:8888/rtp/225.1.4.234:1280
乒羽频道,http://222.141.134.172:8888/rtp/225.1.4.210:1263
CCTV4中文国际欧洲,http://222.141.134.172:8888/rtp/225.1.5.31:1342
CCTV4中文国际美洲,http://222.141.134.172:8888/rtp/225.1.5.32:1343
CGTN英语,http://222.141.134.172:8888/rtp/225.1.5.34:1344
CGTN英文纪录,http://222.141.134.172:8888/rtp/225.1.5.35:1345
CGTN西班牙语,http://222.141.134.172:8888/rtp/225.1.5.36:1346
CGTN法语,http://222.141.134.172:8888/rtp/225.1.5.37:1347
CGTN阿拉伯语,http://222.141.134.172:8888/rtp/225.1.5.38:1348
CGTN俄语,http://222.141.134.172:8888/rtp/225.1.5.39:1349
超高清频道,#genre#
北京卫视4K,http://222.141.134.172:8888/rtp/225.1.5.67:1377
东方卫视4K,http://222.141.134.172:8888/rtp/225.1.5.70:1380
江苏卫视4K,http://222.141.134.172:8888/rtp/225.1.5.71:1381
浙江卫视4K,http://222.141.134.172:8888/rtp/225.1.5.72:1382
山东卫视4K,http://222.141.134.172:8888/rtp/225.1.5.73:1383
湖南卫视4K,http://222.141.134.172:8888/rtp/225.1.5.76:1386
四川卫视4K,http://222.141.134.172:8888/rtp/225.1.5.75:1385
深圳卫视4K,http://222.141.134.172:8888/rtp/225.1.5.68:1378
广东卫视4K,http://222.141.134.172:8888/rtp/225.1.5.69:1379
河南卫视4K,http://222.141.134.172:8888/rtp/225.1.4.254:1300
